날짜,요일,홈,방문,구장,관중수
2019/03/23,토,두산,한화,잠실,"25,000"
2019/03/23,토,SK,KT,문학,"21,909"
2019/03/23,토,KIA,LG,광주,"20,500"
2019/03/23,토,NC,삼성,창원,"22,112"
2019/03/23,토,롯데,키움,사직,"24,500"
2019/03/24,일,두산,한화,잠실,"25,000"
2019/03/24,일,SK,KT,문학,"15,421"
2019/03/24,일,KIA,LG,광주,"17,597"
2019/03/24,일,NC,삼성,창원,"20,067"
2019/03/24,일,롯데,키움,사직,"22,218"
2019/03/26,화,KIA,한화,광주,"5,553"
2019/03/26,화,NC,KT,창원,"4,782"
2019/03/26,화,SK,LG,문학,"6,718"
2019/03/26,화,롯데,삼성,사직,"7,345"
2019/03/26,화,두산,키움,잠실,"6,155"
2019/03/27,수,KIA,한화,광주,"6,251"
2019/03/27,수,NC,KT,창원,"5,154"
2019/03/27,수,SK,LG,문학,"6,319"
2019/03/27,수,롯데,삼성,사직,"8,136"
2019/03/27,수,두산,키움,잠실,"5,784"
2019/03/28,목,KIA,한화,광주,"5,629"
2019/03/28,목,NC,KT,창원,"4,757"
2019/03/28,목,SK,LG,문학,"8,053"
2019/03/28,목,롯데,삼성,사직,"7,625"
2019/03/28,목,두산,키움,잠실,"6,752"
2019/03/29,금,KT,KIA,수원,"16,156"
2019/03/29,금,LG,롯데,잠실,"19,370"
2019/03/29,금,한화,NC,대전,"12,152"
2019/03/29,금,삼성,두산,대구,"12,361"
2019/03/29,금,키움,SK,고척,"5,435"
2019/03/30,토,KT,KIA,수원,"11,475"
2019/03/30,토,LG,롯데,잠실,"20,601"
2019/03/30,토,한화,NC,대전,"11,239"
2019/03/30,토,삼성,두산,대구,"20,559"
2019/03/30,토,키움,SK,고척,"7,330"
2019/03/31,일,KT,KIA,수원,"13,861"
2019/03/31,일,LG,롯데,잠실,"21,267"
2019/03/31,일,한화,NC,대전,"11,878"
2019/03/31,일,삼성,두산,대구,"14,084"
2019/03/31,일,키움,SK,고척,"5,682"
2019/04/02,화,삼성,KIA,대구,"4,818"
2019/04/02,화,두산,KT,잠실,"6,091"
2019/04/02,화,한화,LG,대전,"6,619"
2019/04/02,화,SK,롯데,문학,"6,556"
2019/04/02,화,NC,키움,창원,"4,602"
2019/04/03,수,삼성,KIA,대구,"5,777"
2019/04/03,수,두산,KT,잠실,"5,811"
2019/04/03,수,한화,LG,대전,"6,002"
2019/04/03,수,SK,롯데,문학,"6,457"
2019/04/03,수,NC,키움,창원,"4,945"
2019/04/04,목,삼성,KIA,대구,"5,863"
2019/04/04,목,두산,KT,잠실,"5,427"
2019/04/04,목,한화,LG,대전,"6,650"
2019/04/04,목,SK,롯데,문학,"7,352"
2019/04/04,목,NC,키움,창원,"4,806"
2019/04/05,금,롯데,한화,사직,"11,451"
2019/04/05,금,KT,LG,수원,"5,671"
2019/04/05,금,두산,NC,잠실,"10,365"
