,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,8.1,,,0.5,0.2,0.6,,4.6,,0.2
2일,0.2,,0.4,,,0,103.4,,,0.6,0.5,0
3일,,,,,,,12.3,,,,0,5.7
4일,,,,,,,7.8,,,,,
5일,,1.7,0.4,41.3,,,,,0,,,0.7
6일,,,,0.7,,17.2,,0,1.9,0,,0.1
7일,,,,,,10.6,9.2,,,,,
8일,,,,0.4,,,4.2,,,,,0
9일,0.1,0,,0,6.7,1.2,15.3,0.3,,,,0
10일,0,0,,,2.4,0.4,100.8,4.5,0,0.4,4.5,7.4
11일,0,,,,0,,2,33.8,19,16.2,,
12일,0.3,,0,,,,0.1,,,,,
13일,0.4,,,,8.1,0,,0,,,0.1,
14일,,,,7.4,,,0.1,2.1,,,,
15일,,,,,,,43.7,89.8,,,0,0.3
16일,,0.2,,,,,53.7,8.8,,,,
17일,,3.9,,5.3,,,2.8,1.9,,,0,0
18일,0,,,1.8,,,1.1,,,0,,3
19일,,4.8,,,,,,5.6,0.7,,,
20일,4.4,0.2,,0.1,,0,,54.2,,,0.5,0.1
21일,4.2,,,,,,,8.8,,,,
22일,,5.4,,,,,0,,,,1.2,
23일,,,,,4.4,,69.3,21.3,,,1.4,
24일,,,,,0,0,14.5,7.1,,,0.3,21
25일,,,,,,,,,,,33.5,0
26일,0.5,,,,,19.4,,,0,,,
27일,3.5,,0,,,0,5.6,0,0,,,
28일,,,,,,,8.9,11.7,,,0.2,0
29일,7,,,,,,0,,,,,0
30일,,,,,,,,,,,,1.5
31일,,,0.8,,,,23.3,,,,,0.1
