,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,0.2,,,,18.7,,0.6,,,
2일,,,,,7.2,,3.8,,2.1,,,0
3일,,,,,,,107.3,,11.4,,,8.2
4일,,,15.5,6,,,3.4,,0.6,0.5,,9.7
5일,0,,14.1,1.7,,1.9,13.3,,,73,,
6일,,,,22.3,6.5,,9.8,35.1,0,86,,3.1
7일,0.3,,4.8,0,22.9,,0.3,0,10.6,,0,
8일,4.4,,36.2,,0,,0.1,,,,49.8,
9일,0.1,0.2,0.1,,,0.1,2.4,,0.2,0,,
10일,0.1,,,0,,2.4,,8.7,0,0,,
11일,,0,,0.5,,23.5,,0.9,,,1.4,2.7
12일,,0,,,1.8,,,1.5,0,,0.6,
13일,0,0,,0,3.2,,,,11.7,0.1,0,0
14일,,,,24,,0,,,20.2,,,
15일,0.1,,10.2,,0,,,19.1,,,,
16일,18.2,,0.2,,1.7,,,21.5,0.5,,0,1.9
17일,8.1,,,,0,,,0,0,,,
18일,,,2,,6.6,,,,,0.3,,
19일,,,29.9,,0,4.6,,,5.2,0,,
20일,,,0.1,,,0,,,10.9,,,
21일,,,41.9,,0,,,,40.3,,0,
22일,0,,0.1,,3.5,,,,,,,
23일,0,,,42.5,18.8,0,,10.5,,,,2.5
24일,,,,26.3,,,,4.6,,,0,
25일,,1,,,,,,1.1,3.9,,,
26일,,,,,,0.1,,136.4,0.9,2.1,,
27일,,,,,,10.9,,35.4,,,,
28일,,43.6,,,,50.5,,0,0.3,0,,
29일,,,,,,2.7,1.1,,22.5,0,,
30일,,,,,23.2,30.9,0.1,0.7,15,,,
31일,,,,,,,,3.8,,,,0
