,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,0,,,,47,,,0.5,,
2일,,,,,7.5,,62.5,,0.3,,,
3일,,,,,0.2,,17.5,,11,,,2.5
4일,,,15.5,18.5,,,24.5,,36,0.5,,14
5일,,,7,8,,0.1,14,,,58,,
6일,,,,19.5,10.5,,,,0,98.5,,1
7일,0,,9,,19.5,,,,4,,0.4,
8일,1.5,,14,,,,,0,,,15.5,
9일,0.2,,,,,,2.5,,,,,
10일,0.5,,,,,0.5,,85.5,0,,,
11일,,0,,1.5,,21,,,,,0.5,3
12일,,0.2,,,9,,,3.5,,,0.5,
13일,0,0,,0,5,,,,0.2,,,
14일,,,,18.5,,,,,7.5,,,
15일,,,15.5,,0,,,0.6,3.5,,,
16일,9.5,,1,,0,,,4,0,,0.2,1.8
17일,9.5,,,,,,,,0,,,
18일,,,1.5,,4,,,,,0.3,,
19일,,,23,,,1.5,,,0.5,,,
20일,,,,,,,,,6,,,
21일,,,12,,,,,,40,,,
22일,0,,0.2,0,6,,,,,,,
23일,,0,,38,22,0,,12.5,,,,1.5
24일,,,,9,,,,6,,,0.1,
25일,,0.4,,,,,,0.5,,,,
26일,,,,,,0.5,,127.5,,5.5,,
27일,,,,,,68.5,0.1,56.5,,0.5,,
28일,,24.5,,,,19,1.5,7.5,,0.3,,
29일,,,,,0,,,,0,1,,
30일,,,,,16,10,0,0.1,0,,,
31일,,,,,,,,30,,,,
