,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,2.9,,0,,105.7,,,0.1,,
2일,,,,,4.1,,76.3,,,,,0
3일,,0.4,0,,0,,17.7,,17.7,,,10.3
4일,,,13.1,19.1,,,,,,,,10
5일,,,7.2,16.3,,,0.3,0,,27.2,,
6일,,,,8.9,22.7,,0,1,6.7,76,,1
7일,,,2.5,0,,,,0,1,,1.7,
8일,2,,6.9,0.5,,,,,,,64,
9일,1.1,,,,,0.1,11.5,,,,0,
10일,0.5,,,1.1,,1.4,2.9,,,3,,
11일,,1.9,,,0,0,4.2,,,,0,0
12일,0,1,,,36,0.3,0,2.8,,,,
13일,0.7,,,,0.5,,0.1,,,,,2.7
14일,,,,9.6,,3.4,,,0.2,,,
15일,0.4,,46.5,,0,0.3,,,6.9,,,
16일,0,,,,28.3,,,,1.6,,,0
17일,0.6,,,,64.8,,,,0,,,0
18일,,,1.3,,5.2,,,,,3.8,,
19일,,,3.5,,,,,,0.1,,,
20일,,0.1,,,,,,,5.7,,,
21일,,,2.1,,,,,5.7,20,,5.4,
22일,2.1,0,,4.5,13.6,,,,0.5,,,
23일,0,2.8,,66.2,6.6,,,3.7,1.3,5.9,,
24일,,,,2.6,,,,12.2,,,7,
25일,,,,,,,,,,,,0.1
26일,,,,,,95.5,,4,,7.2,,
27일,,,,,,0.2,,53.1,,0,,
28일,,22.9,,,,3.1,4,124.8,,9.4,,
29일,,,,,10.9,1,,8.5,,0.1,,
30일,0.5,,,,3.7,1.7,,1.9,,0,,
31일,,,,,,,,0.9,,0,,
