,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,6.2,1,,0,15.6,0.8,,10,,0
2일,0.6,,0.3,,,,85,,,1.6,0,
3일,,,,,,,12.4,,,,2.2,4
4일,,,,,0,,82.3,,,,,0.4
5일,,1.3,1.3,33.8,0,,,,0,,,0
6일,,,,1.2,,6,,2.7,1.3,0,,3.2
7일,,,,,,6.1,6.1,,,,0,0.2
8일,0,,0,0.1,,,19.3,0,,,0.2,
9일,0.2,0,,0.6,2.9,0,28,6.6,,,,
10일,0,0,,,4.6,0.5,69.5,11.3,0,0.1,9.6,7.6
11일,,,,0,0.3,,1.3,6.9,15.7,16.8,,
12일,1.9,,,,0.2,,0,,,0.2,,
13일,0.4,1,,,3.5,0.3,,0,,,7.8,
14일,,,,0,,,0.2,8,,,,
15일,,,,,,,74.7,50.9,,,0.2,0
16일,,0.3,,,,,77.8,1.9,,,,
17일,,4,,7.9,,,0.9,0.2,,,0.2,0
18일,0,,,7.9,,,1.3,,,0,,1.2
19일,,4.6,,,,,,13.7,7.8,,,
20일,3.9,2.2,,0,,,,130.8,,,0.7,1.1
21일,1.8,,,,,,5.1,22.6,,,,
22일,0.1,9.1,,,,,0.2,,,,0.1,
23일,,,,,7.1,,63.3,34.8,,,1.9,
24일,,,,,3.9,2.7,19.4,38.1,,,1.5,17
25일,,,,0,,0.5,,,,,13,0
26일,0,,,0,,7.3,,,0,,0.2,0
27일,3.5,,0,,,4.2,0.8,0,1.3,,,
28일,,,,,,,16.5,30.4,,,0,0
29일,7,,,,,,,,,,0,
30일,0,,,,,,,,,,,3.3
31일,,,1.2,,,,104.8,,,,,0.5
