,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,,,,,,,,,,
2일,,,,,,,,,,,,
3일,,6,,,,,,,,,,
4일,,,,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,0,,,,,,,,,
7일,,,0.2,0.2,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,19,,,,,,,,
10일,,,7.5,9,,,,,,,,
11일,,,0.5,,,,,,,,,
12일,3.5,,0.5,,,,,,,,,
13일,,,,,,,,,,,,
14일,,,,0,,,,,,,,
15일,0,,1,,,,,,,,,
16일,,0,,,,,,,,,,
17일,,,,,,,,,,,,
18일,,0,,,,,,,,,,
19일,0,19.5,,,,,,,,,,
20일,0.5,,6,,,,,,,,,
21일,,,,,,,,,,,,
22일,,,,,,,,,,,,
23일,,,0.5,,,,,,,,,
24일,,,,,,,,,,,,
25일,,,,,,,,,,,,
26일,,,,,,,,,,,,
27일,,0.2,,,,,,,,,,
28일,,0.5,,,,,,,,,,
29일,,,,,,,,,,,,
30일,,,4.5,,,,,,,,,
31일,5.5,,,,,,,,,,,
