,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,1.4,,,,25.5,,0.3,,,
2일,,,,,6.2,,7.2,,0.2,,,0
3일,,,,,0,,34.8,,3.1,,,1.9
4일,,,12.3,6.6,,,48.8,,9.2,0.4,,20.2
5일,,,18.9,7.3,,0.1,19.9,,,76.7,,
6일,,,,15.8,13.1,,21.8,0,0,179.4,,4.2
7일,0.2,,3.9,,12.8,,0.5,0,3.3,,0.3,
8일,2.6,,30.4,,,,,,,,17.3,
9일,0,,0.2,,,,4.5,1.3,0.8,,,
10일,0,,,,,0.2,0,20.5,,,,
11일,,0.1,,1,,12.2,0,1.3,0,,0.1,2.9
12일,,,,,3.5,,,2.1,0,,0,
13일,,0,,,2.5,0,,,1.2,,,0
14일,,,,27.3,,0,,,53,,,
15일,,,4.7,,,,,14.4,4.3,,,
16일,7.9,,0.3,,0,0,,23.3,0,,,0.1
17일,9,,,,,,,0,0,,,
18일,,,0.6,,5.7,,,,,3.1,,
19일,,,42.5,,,1.4,,,17.2,0.4,,
20일,,,0,,0,,,,20.3,,,
21일,,,38.4,,,,,,40.9,,0,
22일,0.3,,0.1,0.2,0.1,,,,,,,
23일,0,,,33.9,21.2,0,,7.2,,,,1.8
24일,,,,14.4,,,,0.3,,,0,
25일,,0,,,,,,2.2,,,,
26일,,,,,,0.1,,67.1,,1.6,,
27일,,,,,,51.4,,27.5,0,,,
28일,,33.4,,,,14.1,,0.6,0.5,0,,
29일,,,,,,,1,,5.6,0,,
30일,,,,,6.5,9.6,0.1,0.4,0.1,,,
31일,,,,,,,,7.2,,,,
