,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,0.2,,0,,57.2,,1,1,,
2일,,,,,3.5,,17.2,,,,,0
3일,,0.1,,,0,,0,,12.7,,,10
4일,,0.7,8,6.4,,0,0,0,76.1,0.2,,13.7
5일,,0.2,6.9,13.9,,0,5.2,,,63.3,,
6일,,0.2,,23.9,9.5,,4.9,0,1.7,47.5,,4.6
7일,2.7,0.2,8,0.6,22.8,,,0,8.2,,3.2,0
8일,2.1,,14.5,0,,,,,,,27.4,0
9일,3,,,,,0,,,,0,0.5,0
10일,7.3,,,,,0.2,,18.8,,4.3,,
11일,0.3,1.8,,0.5,,7.1,,,,,5.5,0.9
12일,0,2.1,,,26,,,,,,0.8,
13일,0,0,,0,4.1,,,,3.9,,,0.1
14일,,,,22.1,,,,,3.4,,,
15일,,,30.8,,0,0,,,2,,,
16일,16.1,,0,,0,,,0,,,2.6,0.1
17일,5.6,,,,,,,,0,,,0
18일,,,24.1,,0.5,,,,,,,
19일,,,15.6,,0,14.4,,,1,,,
20일,,,1.1,,,,,,1.7,,,
21일,,,6.6,,,,,,18,,,
22일,1.1,,,6.6,7,,,0,,,,0
23일,0,,,41.8,12,,,57,,0.5,,3
24일,0,,,11,,,,11.3,,,7.2,
25일,,,,0.6,,,,2.5,,,,
26일,,,,,,,,98.6,,7,,0
27일,,,,,,58.4,,108.5,,0.6,,0
28일,0,16.7,,,0,67.6,,0.1,0,0.7,,0
29일,0,,,,,45.8,,0.9,,0.1,,0
30일,0,,,,0,28.9,0,24,,,,0
31일,,,,,,,,75.5,,0,,
