,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,0,11.5,,7.1,0,2.2,0.7,4.9,,
2일,,,4.3,,,,1.7,,,19.1,,
3일,,,,,,0,0.2,,,,,
4일,,0,,,,,0,,,2,0,
5일,3.3,1.1,,0.2,1.5,,,,0.4,0,,
6일,0,,,5.2,,1.5,3.3,,6.1,23.3,,
7일,,,0,,,0.2,0.7,3,0.4,0.1,,
8일,2.6,,,,,,0.1,,,0,,
9일,,,,0,17.9,,11.2,12.4,,,,
10일,,,,0.7,,,0,37.6,,0,,0
11일,,,,21.8,,,,0,57,0.2,,
12일,,,,,0,,,0,,27,,
13일,0,0,,,,0.4,,0,,,,
14일,,,0.4,,,,2.7,63.2,,,,
15일,,,,,,,0,75.1,,0.1,,
16일,,0.4,,,,,0,2.2,2.1,,,
17일,,0.3,,32.9,0,,0.2,0,21.7,0,,
18일,,,,3.7,,,,,,0,,
19일,,2.7,,,,,,0.6,,4.8,,
20일,0,1.2,4.3,0,,1.7,,2.4,,,,
21일,,,3.5,,,1.1,,1,,,,
22일,0.5,20.5,,,,,0.3,6,,0,,
23일,,,,,,,0,0,,0,,
24일,,,,,0.4,0.2,3.5,0.5,,0,0.1,10.5
25일,,,,,,0.6,15.7,0.2,,,,
26일,,0,0.4,3.6,,0,,,,,,
27일,,1.6,0,,,,,,49.6,,,
28일,,,,,,,,,0.2,,,
29일,1,,0,,,0,27.1,2.6,,,,
30일,0,,,,,0,,0,,,,
31일,,,0.5,,,,7.5,,,,,
