,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,0.3,,,,,,,,,,
2일,,0,,,,,,,,,,
3일,,16,,,,,,,,,,
4일,,,,,,,,,,,,
5일,,,,0,,,,,,,,
6일,,,,0.8,,,,,,,,
7일,,0.5,,,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,17.4,,,,,,,,
10일,,,,5.6,,,,,,,,
11일,,,0,,,,,,,,,
12일,,0,0,,,,,,,,,
13일,,,0,,,,,,,,,
14일,,,0,1.7,,,,,,,,
15일,0,2.2,3.5,,,,,,,,,
16일,0,0.2,,,,,,,,,,
17일,0,,,,,,,,,,,
18일,,,,0,,,,,,,,
19일,,4.6,,,,,,,,,,
20일,,0,16.5,1.2,,,,,,,,
21일,0,,3.3,0.3,,,,,,,,
22일,,,,,,,,,,,,
23일,,,1.7,,,,,,,,,
24일,,,,,,,,,,,,
25일,,,,,,,,,,,,
26일,,,,,,,,,,,,
27일,,,,,,,,,,,,
28일,0,,,,,,,,,,,
29일,,,,,,,,,,,,
30일,,,1.8,,,,,,,,,
31일,,,0,,,,,,,,,
