,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,,,2.9,,,,,,,
2일,,,,,,,,,,,,
3일,,14.5,,,,,,,,,,
4일,,,,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,1.6,,,,,,,,,
7일,,0,,9.9,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,12.3,,,,,,,,
10일,,,20.8,4.4,,,,,,,,
11일,0,,0,0,,,,,,,,
12일,3,,0,1.3,,,,,,,,
13일,,,,,,,,,,,,
14일,,,,0,,,,,,,,
15일,,0,1.2,,,,,,,,,
16일,,,,,,,,,,,,
17일,,,,,,,,,,,,
18일,,0,,,,,,,,,,
19일,0.5,31.5,,,,,,,,,,
20일,0.2,,28,,,,,,,,,
21일,,,1.8,,,,,,,,,
22일,,,,,,,,,,,,
23일,,,0,6.3,,,,,,,,
24일,,,,9.6,,,,,,,,
25일,,,,0.5,,,,,,,,
26일,,,,8.6,,,,,,,,
27일,,0,,,,,,,,,,
28일,,0,,0,,,,,,,,
29일,,,,38.4,,,,,,,,
30일,,,1.3,,,,,,,,,
31일,4.6,,,,,,,,,,,
