,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,0,0,,,,,,,,,,
2일,,0,,,,,,,,,,
3일,,17.3,0,,,,,,,,,
4일,,,,,,,,,,,,
5일,0,,,,,,,,,,,
6일,,,0,,,,,,,,,
7일,,0,,8.9,,,,,,,,
8일,,,,,,,,,,,,
9일,,,0,36.2,,,,,,,,
10일,0,,9.9,2.5,,,,,,,,
11일,0.4,,0.9,,,,,,,,,
12일,3.5,,0.1,,,,,,,,,
13일,,,,,,,,,,,,
14일,,,,0.5,,,,,,,,
15일,0,,0.9,,,,,,,,,
16일,,0,0,,,,,,,,,
17일,,,,,,,,,,,,
18일,,0.6,,,,,,,,,,
19일,1.9,18.5,,,,,,,,,,
20일,0.3,,20.6,,,,,,,,,
21일,,,0,,,,,,,,,
22일,,,,,,,,,,,,
23일,,,0.1,1.4,,,,,,,,
24일,,,,,,,,,,,,
25일,,,,3.6,,,,,,,,
26일,,,,0.4,,,,,,,,
27일,,0.6,,,,,,,,,,
28일,0,0,,1.8,,,,,,,,
29일,,,,29.1,,,,,,,,
30일,0,,1.4,0.3,,,,,,,,
31일,10.3,,,,,,,,,,,
