,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,,,0,,56.6,,46.4,0,,
2일,,,,,6.6,,8.5,,0.6,,,0.8
3일,,,,,0,,49.6,,48.2,,,6.9
4일,,,19,10.9,,,,,17,2.4,,8.9
5일,,,5.5,2,,3.4,11.7,,,39.5,,
6일,,,,20.4,27.3,,1.6,0,0,102.2,,3.6
7일,1.4,,4.6,0,23.7,,,0,8.5,,0,
8일,1,,37.6,0,,,,0,,,20.3,
9일,,0,,,,0,7.9,30.8,,0,,
10일,0,,,0,,0.9,,0.8,,0,,
11일,,0,,0.1,,34.1,,,,,1.2,2.4
12일,,,,,4.1,0.7,,2.5,0,,1.8,
13일,,,,0,15.3,,,,11.6,,,
14일,,,,28,,,,,29.4,,,
15일,0,,73.1,,,,,9.3,7,,,
16일,20.8,,1.3,,7.7,,,25.2,,,0,1.5
17일,3.5,,,,8.6,,,,,,,0
18일,,,8.1,,3.4,,,,,,0,
19일,,,24,,0,6.7,,,0.5,,,
20일,,,1.3,,,0.1,,,12.2,,,
21일,,,11.5,,,,,,28,,,
22일,0,,,0.3,8.5,,,0,,,,0
23일,,0,,41.7,26,0,,10.3,,0,,2.8
24일,,,,15.9,,,,7.5,,,0.4,
25일,,,,,,,,4.5,,,,
26일,,,,,,1.2,,48,,2.1,,
27일,,,,,,17.3,,51.8,,,,
28일,,32.6,,,1.2,98.9,7.8,0,,0,,
29일,,,,,,0.7,0,0,6.4,0,,
30일,,,,,12.6,30.8,2.3,21.6,0.6,,,
31일,,,,,,,,31.4,,,,
