날짜,요일,홈,방문,구장,관중수
2018/03/24,토,넥센,한화,고척,"15,055"
2018/03/24,토,KIA,KT,광주,"20,500"
2018/03/24,토,NC,LG,마산,"11,000"
2018/03/24,토,SK,롯데,문학,"25,000"
2018/03/24,토,두산,삼성,잠실,"25,000"
2018/03/25,일,넥센,한화,고척,"13,010"
2018/03/25,일,KIA,KT,광주,"20,500"
2018/03/25,일,NC,LG,마산,"11,000"
2018/03/25,일,SK,롯데,문학,"22,765"
2018/03/25,일,두산,삼성,잠실,"20,240"
2018/03/27,화,NC,한화,마산,"5,037"
2018/03/27,화,SK,KT,문학,"6,067"
2018/03/27,화,넥센,LG,고척,"4,401"
2018/03/27,화,두산,롯데,잠실,"10,391"
2018/03/27,화,KIA,삼성,광주,"6,892"
2018/03/28,수,NC,한화,마산,"5,003"
2018/03/28,수,SK,KT,문학,"5,701"
2018/03/28,수,넥센,LG,고척,"4,437"
2018/03/28,수,두산,롯데,잠실,"10,382"
2018/03/28,수,KIA,삼성,광주,"8,347"
2018/03/29,목,NC,한화,마산,"4,872"
2018/03/29,목,SK,KT,문학,"5,936"
2018/03/29,목,넥센,LG,고척,"4,219"
2018/03/29,목,두산,롯데,잠실,"10,956"
2018/03/29,목,KIA,삼성,광주,"7,839"
2018/03/30,금,LG,KIA,잠실,"22,667"
2018/03/30,금,롯데,NC,사직,"21,124"
2018/03/30,금,KT,두산,수원,"13,562"
2018/03/30,금,한화,SK,대전,"10,354"
2018/03/30,금,삼성,넥센,대구,"11,683"
2018/03/31,토,LG,KIA,잠실,"25,000"
2018/03/31,토,롯데,NC,사직,"25,000"
2018/03/31,토,KT,두산,수원,"16,852"
2018/03/31,토,한화,SK,대전,"13,000"
2018/03/31,토,삼성,넥센,대구,"16,572"
2018/04/01,일,LG,KIA,잠실,"23,815"
2018/04/01,일,롯데,NC,사직,"19,432"
2018/04/01,일,KT,두산,수원,"16,137"
2018/04/01,일,한화,SK,대전,"9,528"
2018/04/01,일,삼성,넥센,대구,"14,336"
2018/04/03,화,SK,KIA,문학,"15,052"
2018/04/03,화,넥센,KT,고척,"1,814"
2018/04/03,화,두산,LG,잠실,"13,557"
2018/04/03,화,한화,롯데,대전,"5,740"
2018/04/03,화,NC,삼성,마산,"5,655"
2018/04/04,수,SK,KIA,문학,"14,639"
2018/04/04,수,넥센,KT,고척,"2,081"
2018/04/04,수,두산,LG,잠실,"12,742"
2018/04/04,수,한화,롯데,대전,"3,891"
2018/04/04,수,NC,삼성,마산,"3,192"
