,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,,,,,,,,,,
2일,,0,,,,,,,,,,
3일,,19.5,,,,,,,,,,
4일,0,,,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,0,0,,,,,,,,
7일,,0,,,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,14.9,,,,,,,,
10일,,,,3.8,,,,,,,,
11일,,,0.1,,,,,,,,,
12일,,0,,,,,,,,,,
13일,,,,,,,,,,,,
14일,,,,2.4,,,,,,,,
15일,,2.6,1.5,,,,,,,,,
16일,0.6,0,,,,,,,,,,
17일,0.1,,,,,,,,,,,
18일,,,,0,,,,,,,,
19일,,4.5,,,,,,,,,,
20일,,,16.4,1.1,,,,,,,,
21일,,,4.7,0.7,,,,,,,,
22일,,,,,,,,,,,,
23일,,,2.6,,,,,,,,,
24일,,,,,,,,,,,,
25일,,,,,,,,,,,,
26일,,,,,,,,,,,,
27일,,,,,,,,,,,,
28일,0,,,,,,,,,,,
29일,,,0,,,,,,,,,
30일,,,3.1,,,,,,,,,
31일,,,,,,,,,,,,
