,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,5,1,,,0.5,2,,4,,0
2일,0.3,,0.5,,,0,92,,,1.5,1,
3일,,,,,,,67.5,,,,1.5,4
4일,,,,,,,0.5,,,,,0.1
5일,,0.5,0.5,37.5,,0,,0,0,,,0.1
6일,,,,3,,15.5,34,5,2,0.5,,1.2
7일,,,0,,,12.5,16.5,,,0,0,
8일,0,,0,0.5,,,4.5,,,,0,
9일,0,,,0.5,2.5,0.1,32.5,2.5,,0,,
10일,,,,,2.5,4.5,144.5,5.5,0.5,0.4,7.5,4.1
11일,,,,,0,,1,0.5,24,20,,
12일,0,,0,,,,0,,,,,
13일,0.6,,,0,6,0,,0,,,4.5,
14일,,,,6,,,0,1.5,,,,
15일,,,,,0,,42.5,93.5,,,,0
16일,,0,,,,,22.5,2,,,,
17일,,4,,5.5,,,7.5,0.5,,,0,
18일,0,,,7.5,,,2.5,0,,0.1,,3.4
19일,,1,,,,,,0,8,,,
20일,4,0.5,,0.1,,0,,124.5,,,0,0.2
21일,2.1,,,,,0,,5,,,,
22일,0,5.1,,,,,0.5,,,,0.5,
23일,,,,,5,,133.5,31.5,0,,1.2,
24일,,,,,0.1,3.5,3,14,0,,0,20
25일,,,,,,1.5,,,,,24,
26일,0.3,,,,,29,,,0,,,
27일,3,,0.4,,,0,3.5,0,0.5,,,
28일,,,,,,,8.5,9,,,0.5,0
29일,4.5,,,,,,0,,,,0,0
30일,0.1,,,,,,,,,,,0.7
31일,,,1.5,,,,3.5,,,,,1
