,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,8.1,10.1,,13.4,0,0.8,0,5.3,,
2일,,,3.1,,,,16.6,,,26.9,,
3일,,,,,,,0,,,0,,
4일,,0,,,0.1,,18.9,,,0,,
5일,11.2,2.4,,8.7,4.6,,0.9,,0.4,0,,
6일,0,,,35.1,,0,0,,25.3,16.2,,
7일,,,,,,7,1,,3.6,,,
8일,2.1,0,,,,,1.7,0,,,,
9일,,0,,,14.9,,0.4,15.9,,,,
10일,,,,0.5,,,0,9,,,0,0
11일,,,,15.7,0,,0,,104.5,0,,
12일,,,,,6.2,,,,,11.2,,
13일,0,,,,,2.8,,0,,,,
14일,,0,0.2,,,,,34.1,,,,
15일,,,,0.1,,,0.1,1.3,,2.4,,
16일,,0.8,,,,,,0,2.9,0,,
17일,,0.6,,40.7,0.2,,0.3,,18.2,,,
18일,,,,0.7,,,,0,,0,,
19일,,0.1,,,,,,0.6,,0.9,,
20일,0,1.2,6.5,0,,8.9,,1.1,,0,,
21일,,,2,,,,2.5,2.1,,,,
22일,0,18.2,,,,,1.1,3.3,,0.2,,
23일,,,,,,,,,,0,,
24일,,,,,0.3,,17,,,0,,12.7
25일,,,0.1,,,3.1,30.4,1.6,,,,
26일,,,3.1,0.3,,0.2,,,,,,
27일,,0.3,0.4,,,,,,23.1,,,
28일,,,0,,,,,,0,,,
29일,1.9,,1.1,,,2.8,11.2,,,,,
30일,0.1,,,,,0.3,,,,,,
31일,,,3,,,,2.5,,,,,
