연도,삼성,KIA,롯데,LG,두산,한화,SK,넥센,NC,KT
2018,10449,11968,12523,15398,15445,10196,14406,6314,6151,9286
2017,9790,14234,14424,15762,15206,8240,12396,9714,7377,9535
