,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,0.1,,,0,,,,,,,,
2일,,0,,,,,,,,,,
3일,,27.1,,,,,,,,,,
4일,,,,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,,,,,,,,,,
7일,,0,,0.8,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,31.3,,,,,,,,
10일,,,0.1,4.9,,,,,,,,
11일,,,0.8,,,,,,,,,
12일,0.5,,0.5,,,,,,,,,
13일,,,,,,,,,,,,
14일,,,,0.5,,,,,,,,
15일,0.3,0,1.1,,,,,,,,,
16일,,0.1,,,,,,,,,,
17일,0,,,,,,,,,,,
18일,,0.1,,,,,,,,,,
19일,,18.8,,0.2,,,,,,,,
20일,0,0,17.7,,,,,,,,,
21일,,,2.6,,,,,,,,,
22일,,,,,,,,,,,,
23일,,,6.2,6.2,,,,,,,,
24일,,,,21.8,,,,,,,,
25일,,,,7.7,,,,,,,,
26일,,,,1.2,,,,,,,,
27일,,0.2,,,,,,,,,,
28일,0.8,,,0.4,,,,,,,,
29일,,,,16.6,,,,,,,,
30일,,,4.7,,,,,,,,,
31일,0,,0,,,,,,,,,
