,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,0,,,,,,,,,,,
2일,,0,,,,,,,,,,
3일,,13.3,,,,,,,,,,
4일,,,,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,,,,,,,,,,
7일,,0,,0,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,27.3,,,,,,,,
10일,,,,2.3,,,,,,,,
11일,,,1.1,,,,,,,,,
12일,0,,0.5,,,,,,,,,
13일,,,,,,,,,,,,
14일,,,0,0.2,,,,,,,,
15일,0.1,0,0,,,,,,,,,
16일,,0,0,,,,,,,,,
17일,0,,,,,,,,,,,
18일,,,,,,,,,,,,
19일,,9.7,,0,,,,,,,,
20일,0,0,12.4,,,,,,,,,
21일,,,1,,,,,,,,,
22일,,,,,,,,,,,,
23일,,,2.2,3.8,,,,,,,,
24일,,,,16.4,,,,,,,,
25일,,,,5.8,,,,,,,,
26일,,,,1.6,,,,,,,,
27일,,0,,,,,,,,,,
28일,0,,,0,,,,,,,,
29일,,,,3.4,,,,,,,,
30일,,,3.1,,,,,,,,,
31일,,,0,,,,,,,,,
